Hoogelaandsters-0001	t veurnoame herenhoes, mit grode toenen en mit grachten der omtou doar swoanen ien dreven, ston stoef bie dörp.
Hoogelaandsters-0002	as ik zo dou, n geboar mit wiesvinger, den mostoe doalek kommen.
Hoogelaandsters-0003	dij vlogen aingoal deur toenen en vernailden veul aan stroekerij en planten dij der nog stonden.
Hoogelaandsters-0004	bie freerk en anna nait, doar zaten ze ien hoes, en sinie ien kelder.
Hoogelaandsters-0005	t schaiten ging de haile zundag deur.
Hoogelaandsters-0006	ien de middag kwam t ofweergeschut eerst goud op gang.
Hoogelaandsters-0007	maiste tied wui deurbrocht ien kelder.
Hoogelaandsters-0008	anna perbaaiert n tas kloar te moaken.
Hoogelaandsters-0009	polis-pepieren, molest-verzekern-pepieren, zulvern theelepeltjes en aander goud kwam ien tas dij op kast ston ien keuken.
Hoogelaandsters-0010	t schaiten kwam weer op gang.
